"from","to","search","tele"
"ALB","FRA",12,0
"ALB","ISL",0,0
"ALB","RUS",6,12
"ALB","NLD",5,7
"ALB","BLR",0,0
"ALB","CYP",7,0
"ALB","CHE",2,4
"ALB","ITA",8,8
"ALB","SMR",3,10
"ALB","SRB",0,0
"ALB","EST",0,0
"ALB","GRC",10,2
"ALB","CZE",4,0
"ALB","SWE",0,0
"ALB","ALB",0,0
"ALB","AZE",0,3
"ALB","DEU",0,0
"ALB","MKD",0,6
"ALB","ESP",0,0
"ALB","SVN",1,0
"ALB","GBR",0,0
"ALB","AUS",0,1
"ALB","NOR",0,5
"ALB","MLT",0,0
"ALB","ISR",0,0
"ALB","DNK",0,0
"ARM","FRA",10,4
"ARM","ISL",5,3
"ARM","RUS",12,12
"ARM","NLD",8,10
"ARM","BLR",3,0
"ARM","CYP",6,0
"ARM","CHE",4,8
"ARM","ITA",2,7
"ARM","SMR",0,0
"ARM","SRB",0,0
"ARM","EST",0,0
"ARM","GRC",1,0
"ARM","CZE",0,0
"ARM","SWE",0,2
"ARM","ALB",0,0
"ARM","AZE",7,0
"ARM","DEU",0,0
"ARM","MKD",0,0
"ARM","ESP",0,0
"ARM","SVN",0,0
"ARM","GBR",0,0
"ARM","AUS",0,1
"ARM","NOR",0,5
"ARM","MLT",0,6
"ARM","ISR",0,0
"ARM","DNK",0,0
"AUS","FRA",10,3
"AUS","ISL",12,10
"AUS","RUS",2,0
"AUS","NLD",7,6
"AUS","BLR",4,0
"AUS","CYP",5,0
"AUS","CHE",0,7
"AUS","ITA",3,5
"AUS","SMR",6,0
"AUS","SRB",0,0
"AUS","EST",1,0
"AUS","GRC",8,0
"AUS","CZE",0,2
"AUS","SWE",0,8
"AUS","ALB",0,0
"AUS","AZE",0,1
"AUS","DEU",0,0
"AUS","MKD",0,0
"AUS","ESP",0,0
"AUS","SVN",0,0
"AUS","GBR",0,0
"AUS","AUS",0,0
"AUS","NOR",0,12
"AUS","MLT",0,4
