"to","year","searchpoints","votepoints"
"ALB",2004,32,106
"ALB",2005,55,53
"ALB",2008,32,55
"ALB",2009,27,48
"ALB",2010,35,62
"ALB",2012,64,146
"ALB",2015,148,34
"ALB",2018,39,58
"ARM",2006,0,129
"ARM",2007,6,138
"ARM",2008,219,199
"ARM",2009,47,92
"ARM",2010,261,141
"ARM",2013,4,41
"ARM",2014,127,174
"ARM",2015,0,34
"ARM",2016,264,134
"ARM",2017,18,21
"AUS",2015,185,196
"AUS",2016,194,191
"AUS",2017,100,2
"AUS",2018,37,9
"AUT",2004,0,9
"AUT",2011,23,64
"AUT",2014,432,290
"AUT",2015,0,0
"AUT",2016,42,120
"AUT",2017,16,0
"AUT",2018,23,71
"AZE",2008,11,132
"AZE",2009,300,207
"AZE",2010,307,145
"AZE",2011,48,221
"AZE",2012,23,150
"AZE",2013,68,234
"AZE",2014,40,33
"AZE",2015,91,49
"AZE",2016,0,73
"AZE",2017,32,42
"BLR",2007,144,145
"BLR",2010,0,18
"BLR",2013,74,48
"BLR",2014,21,43
"BLR",2017,3,33
"BEL",2004,124,7
"BEL",2010,194,143
"BEL",2013,18,71
"BEL",2015,270,217
"BEL",2016,0,51
"BEL",2017,121,255
"BIH",2004,29,91
"BIH",2005,50,79
"BIH",2006,93,229
"BIH",2007,6,106
"BIH",2008,19,110
"BIH",2009,18,106
"BIH",2010,34,51
"BIH",2011,114,125
"BIH",2012,31,55
"BGR",2007,2,157
"BGR",2016,144,180
"BGR",2017,330,337
"BGR",2018,26,66
"HRV",2004,7,50
"HRV",2005,0,115
"HRV",2006,244,56
"HRV",2008,8,44
"HRV",2009,27,45
"HRV",2016,0,33
"HRV",2017,65,103
"CYP",2004,15,170
"CYP",2005,0,46
"CYP",2010,25,27
"CYP",2012,120,65
"CYP",2015,0,11
"CYP",2016,0,53
"CYP",2017,36,32
"CYP",2018,358,253
"CZE",2016,53,0
"CZE",2018,269,215
"DNK",2005,47,125
"DNK",2006,11,26
"DNK",2008,32,60
"DNK",2009,7,74
"DNK",2010,21,149
"DNK",2011,91,134
"DNK",2012,23,21
"DNK",2013,247,281
"DNK",2014,11,74
"DNK",2017,40,8
"DNK",2018,62,188
"EST",2009,43,129
"EST",2011,33,44
"EST",2012,16,120
"EST",2013,2,19
"EST",2015,0,106
"EST",2018,42,102
"FIN",2006,334,292
"FIN",2007,54,53
"FIN",2008,123,35
"FIN",2009,1,22
"FIN",2011,47,57
"FIN",2013,88,13
"FIN",2014,42,72
"FIN",2018,129,23
"FRA",2004,38,40
"FRA",2005,11,11
"FRA",2006,0,5
"FRA",2007,55,19
"FRA",2008,86,47
"FRA",2009,159,107
"FRA",2010,41,82
"FRA",2011,87,82
"FRA",2012,43,21
"FRA",2013,6,14
"FRA",2014,78,2
"FRA",2015,0,4
"FRA",2016,22,109
"FRA",2017,79,90
"FRA",2018,47,59
"GEO",2007,50,97
"GEO",2008,80,83
"GEO",2010,62,136
"GEO",2011,37,110
"GEO",2013,0,50
"GEO",2015,136,51
"GEO",2016,0,24
"DEU",2004,22,93
"DEU",2005,4,4
"DEU",2006,26,36
"DEU",2007,57,49
"DEU",2008,59,14
"DEU",2009,12,35
"DEU",2010,350,246
"DEU",2011,323,107
"DEU",2012,81,110
"DEU",2013,286,18
"DEU",2014,59,39
"DEU",2015,0,0
"DEU",2016,0,10
"DEU",2017,8,3
"DEU",2018,13,136
"GRC",2004,190,252
"GRC",2005,160,230
"GRC",2006,146,128
"GRC",2007,111,139
"GRC",2008,268,218
"GRC",2009,274,120
"GRC",2010,72,140
"GRC",2011,100,120
"GRC",2012,141,64
"GRC",2013,15,152
"GRC",2014,24,35
"GRC",2015,12,23
"GRC",2017,41,29
"HUN",2005,0,97
"HUN",2007,91,128
"HUN",2011,99,53
"HUN",2012,17,19
"HUN",2013,68,84
"HUN",2014,103,143
"HUN",2015,40,19
"HUN",2016,0,56
"HUN",2017,59,152
"HUN",2018,8,65
"ISL",2004,0,16
"ISL",2008,6,64
"ISL",2009,89,218
"ISL",2010,25,41
"ISL",2011,0,61
"ISL",2012,2,46
"ISL",2013,9,47
"ISL",2014,30,58
"IRL",2004,8,7
"IRL",2006,22,93
"IRL",2007,0,5
"IRL",2010,15,25
"IRL",2011,286,119
"IRL",2012,278,46
"IRL",2013,50,5
"IRL",2018,59,62
"ISR",2005,103,154
"ISR",2006,3,4
"ISR",2008,66,124
"ISR",2009,30,53
"ISR",2010,84,71
"ISR",2015,0,97
"ISR",2016,0,11
"ISR",2017,117,5
"ISR",2018,358,317
"ITA",2011,8,189
"ITA",2012,34,101
"ITA",2013,61,126
"ITA",2014,81,33
"ITA",2015,290,292
"ITA",2016,95,34
"ITA",2017,305,208
"ITA",2018,58,249
"LVA",2005,73,153
"LVA",2006,0,30
"LVA",2007,27,54
"LVA",2008,14,83
"LVA",2015,0,186
"LVA",2016,0,63
"LTU",2006,43,162
"LTU",2007,0,28
"LTU",2009,55,23
"LTU",2011,46,63
"LTU",2012,14,70
"LTU",2013,15,17
"LTU",2015,43,30
"LTU",2016,197,96
