"from","to","search","tele"
"Azerbaijan","Ireland",6,1
"Azerbaijan","Israel",19,38
"Azerbaijan","Italy",15,20
"Azerbaijan","Latvia",0,5
"Azerbaijan","Lithuania",7,8
"Azerbaijan","Malta",6,26
"Azerbaijan","Moldova",10,35
"Azerbaijan","Montenegro",0,2
"Azerbaijan","Netherlands",13,0
"Azerbaijan","Norway",38,22
"Azerbaijan","Poland",2,5
"Azerbaijan","Portugal",10,8
"Azerbaijan","Romania",13,36
"Azerbaijan","Russia",69,67
"Azerbaijan","San Marino",0,3
"Azerbaijan","Serbia",0,2
"Azerbaijan","Slovenia",0,3
"Azerbaijan","Spain",5,1
"Azerbaijan","Sweden",33,21
"Azerbaijan","Switzerland",4,0
"Azerbaijan","Turkey",44,48
"Azerbaijan","Ukraine",61,85
"Azerbaijan","United Kingdom",19,7
"Belarus","Armenia",28,49
"Belarus","Australia",7,7
"Belarus","Austria",13,0
"Belarus","Azerbaijan",29,58
"Belarus","Belgium",16,14
"Belarus","Bosnia and Herzegovina",0,4
"Belarus","Bulgaria",22,17
"Belarus","Croatia",0,5
"Belarus","Cyprus",7,11
"Belarus","Czech Republic",7,5
"Belarus","Denmark",19,9
"Belarus","Estonia",10,15
"Belarus","Finland",10,8
"Belarus","France",8,11
"Belarus","Georgia",16,34
"Belarus","Germany",20,8
"Belarus","Greece",16,30
"Belarus","Hungary",8,20
"Belarus","Iceland",0,4
"Belarus","Ireland",13,1
"Belarus","Israel",18,30
"Belarus","Italy",21,8
"Belarus","Latvia",0,16
"Belarus","Lithuania",8,21
"Belarus","Malta",3,15
"Belarus","Moldova",8,51
"Belarus","Netherlands",15,2
"Belarus","North Macedonia",0,2
"Belarus","Norway",37,44
"Belarus","Poland",18,13
"Belarus","Portugal",8,7
"Belarus","Romania",6,8
"Belarus","Russia",119,141
"Belarus","Serbia",10,8
"Belarus","Serbia and Montenegro",0,10
"Belarus","Slovenia",0,4
"Belarus","Spain",2,2
"Belarus","Sweden",41,34
"Belarus","Switzerland",0,10
"Belarus","Turkey",13,9
"Belarus","Ukraine",95,119
"Belarus","United Kingdom",19,6
"Belgium","Albania",12,20
