"from","to","search","tele"
"ALB","GRC",65,122
"ALB","ITA",61,87
"ALB","RUS",40,32
"ALB","SWE",46,42
"ARM","RUS",93,107
"ARM","UKR",64,70
"AUT","DEU",71,45
"AUT","SWE",40,34
"AZE","RUS",69,67
"AZE","TUR",44,48
"AZE","UKR",61,85
"BLR","NOR",37,44
"BLR","RUS",119,141
"BLR","SWE",41,34
"BLR","UKR",95,119
"BEL","FRA",110,42
"BEL","GRC",54,75
"BEL","NLD",58,58
"BEL","RUS",53,34
"BEL","SWE",63,49
"BEL","TUR",33,76
"BIH","GRC",33,34
"BIH","MKD",32,43
"BIH","SRB",46,68
"BGR","ARM",31,54
"BGR","GRC",38,86
"BGR","RUS",45,48
"BGR","UKR",38,49
"HRV","BIH",57,93
"HRV","RUS",47,36
"HRV","SRB",48,74
"HRV","UKR",34,51
"CYP","GRC",142,140
"CYP","RUS",64,57
"CYP","SWE",39,42
"CYP","UKR",44,54
"CZE","RUS",42,39
"CZE","UKR",48,56
"DNK","DEU",38,57
"DNK","NLD",33,33
"DNK","NOR",54,76
"DNK","SWE",102,138
"EST","FIN",42,55
"EST","NOR",40,47
"EST","RUS",97,119
"EST","SWE",74,83
"EST","UKR",62,56
"FIN","NOR",44,62
"FIN","RUS",61,62
"FIN","SWE",129,105
"FIN","UKR",48,33
"FRA","ARM",38,84
"FRA","ISR",31,49
"FRA","ITA",38,41
"FRA","ROU",34,36
"FRA","RUS",54,31
"FRA","ESP",55,58
"FRA","SWE",51,44
"FRA","TUR",56,87
"GEO","AZE",55,81
"GEO","RUS",72,51
"GEO","UKR",37,79
"DEU","GRC",52,80
"DEU","RUS",86,62
"DEU","SWE",50,36
"DEU","TUR",64,84
"GRC","ARM",37,53
"GRC","CYP",41,94
"GRC","RUS",51,58
"GRC","UKR",64,52
"HUN","RUS",37,42
"HUN","SWE",57,51
"ISL","FIN",34,57
"ISL","NOR",46,65
"ISL","SWE",98,95
"IRL","DEU",54,34
"IRL","LTU",31,80
"IRL","RUS",43,48
"IRL","SWE",44,56
"IRL","UKR",33,37
"IRL","GBR",99,96
"ISR","FRA",46,35
"ISR","RUS",108,98
"ISR","SWE",35,58
"ISR","UKR",94,79
"ITA","ROU",51,35
"ITA","UKR",38,52
"LVA","LTU",32,65
"LVA","NOR",37,48
"LVA","RUS",116,111
"LVA","SWE",56,62
"LVA","UKR",72,79
"LTU","NOR",51,46
"LTU","RUS",97,90
"LTU","SWE",69,53
"LTU","UKR",68,70
"MLT","ITA",55,83
"MLT","RUS",51,44
"MLT","SWE",61,63
"MLT","UKR",32,50
"MLT","GBR",46,56
"MDA","ROU",66,137
"MDA","RUS",98,102
"MDA","SWE",32,39
"MDA","UKR",69,100
"MNE","SRB",36,72
"NLD","BEL",51,57
"NLD","DEU",34,39
"NLD","GRC",46,37
"NLD","NOR",47,40
"NLD","SWE",66,49
"NLD","TUR",56,82
"MKD","ALB",47,91
"MKD","GRC",41,34
"MKD","RUS",43,49
"MKD","SRB",46,79
"MKD","SWE",51,31
"NOR","FIN",44,39
"NOR","DEU",32,34
"NOR","ROU",33,40
"NOR","SWE",124,115
"POL","NOR",32,38
"POL","RUS",59,36
"POL","SWE",35,46
"POL","UKR",68,98
"PRT","RUS",66,39
"PRT","ESP",37,101
"PRT","SWE",48,33
"PRT","UKR",40,74
"ROU","GRC",50,93
"ROU","HUN",66,64
"ROU","MDA",88,118
"ROU","RUS",32,35
"ROU","SWE",42,47
"RUS","ARM",46,79
"RUS","AZE",53,78
"RUS","NOR",31,36
"RUS","SWE",47,31
"RUS","UKR",106,93
"SMR","ITA",48,51
"SRB","GRC",40,35
"SRB","HUN",44,58
"SRB","RUS",40,58
"SVN","BIH",56,81
"SVN","ITA",41,45
"SVN","NOR",38,35
"SVN","RUS",39,47
"SVN","SRB",46,84
"SVN","SWE",67,55
"ESP","FRA",39,36
"ESP","DEU",38,49
"ESP","NOR",39,31
"ESP","ROU",51,113
"ESP","RUS",48,48
"ESP","SWE",75,55
"ESP","UKR",55,57
"SWE","DNK",33,71
"SWE","FIN",53,54
"SWE","NOR",51,80
"SWE","RUS",56,38
"CHE","ALB",39,58
"CHE","DEU",84,75
"CHE","GRC",39,37
"CHE","ITA",61,54
"TUR","AZE",36,60
"TUR","GRC",91,43
"TUR","RUS",32,33
"TUR","UKR",34,39
"UKR","ARM",36,51
"UKR","AZE",44,75
"UKR","NOR",42,31
"UKR","RUS",109,104
"UKR","SWE",36,35
"GBR","GRC",53,80
"GBR","IRL",64,55
"GBR","RUS",52,33
"GBR","SWE",61,58
"GBR","UKR",50,35
